"product_name","product_price","source_website","brand","image_url","rating","original_price","saved_amount","description","how_to_use","ingredients"
"Excellence Creme Cat Rambut","Rp149.512","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/58453275232-1587455044252.png","4.6","Rp169.900","-Rp20.388","Temukan tiga perlindungan untuk pewarnaan sempurna. Formula Excellence Creme dengan Amino Acid dan Ceramide serta Ionene G terserap ke lapisan batang rambut untuk perlindungan yang tahan lama. Kombinasi unik dari bahan aktif untuk perlindungan menyeluruh dan warna tahan lama. Krim pewarnanya melapisi batang rambut hingga uban terakhir. Warna menempel dengan sempurna, bahkan pada uban yang sulit diwarnai. Hasil : Rambut diwarnai dengan sempurna. Warna yang kaya, bersinar, indah hingga pewarnaan rambut berikutnya. Manfaat: Pewarna rambut yang melindungi rambut sebelum, saat, dan sesudah pewarnaan. Rambut tetap sehat, terasa lembut dan halus. Warna rambut terlihat sensasional dan u.. See More","",""
"Voluminous Panorama Waterproof Mascara","Rp115.430","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/bcca79af-43cf-4d04-969b-9a377a554271-image-0-1711079923900","4.8","Rp164.900","-Rp49.470","BARU! L'OREAL PARIS PANORAMA MASCARA, Maskara yang digunakan oleh Kendall Jenner Dapatkan bulu mata impian Anda yang dengan Voluminous Panorama Mascara. Maskara ini menghasilkan efek dramatis pada bulu mata anda. Dilengkapi dengan aplikator multi-level bristles untuk melapisi setiap bulu mata secara merata dari sudut dalam hingga sudut terluar untuk volume maksimal. Manfaat produk: - Fanned out lashes: Menciptakan volume PANORAMA dari sudut ke sudut! - Membuat bulu mata terlihat terbuka sehingga mata tampak 1.4X lebih besar - Clumps-free, smudgeproof, dan tahan lama hingga 24 jam - Formula yang telah teruji oleh ophtalmologist, sehingga cocok untuk mata sensitif .. See More","",""
"Brow Artist Xpert","Rp145.400","Sociolla","Loreal Paris","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/8/6/8/4/18684-large_default.jpg","4.3","","","Bentuk alis matamu dengan sempurna menggunakan Brow Artist Expert dari L'Oreal Paris. Tiga solusi tersedia dan dibuat untuk membentuk alis mata sesuai bentuk mukamu. Jadi lebih berani ekpresikan dirimu. Untuk Semua Jenis Kulit. Tahan air. Tanpa- Pewangi. Brow Artist Xpert Eyebrow Pencil adalah pensil alis yang dilengkapi dengan brush untuk mendapatkan bentuk alis natural dan sempurna. Brow Artist Xpert Eyebrow Pencil memiliki ujung triangular untuk memudahkanmu dalam menggambar, bentuk, dan mengisi alis. Gunakan ujung brush untuk membaurkan warna dan dapatkan hasil alis natural.","",""
"Infallible 24H Fresh Wear Powder Foundation","Rp179.900","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/93945ab7-6bc6-41da-b491-5fc502ef2985-.jpg","4.6","","","Temukan Bedak yang Viral di TIKTOK, L’Oreal Infallible 24H Fresh Wear Powder Foundation yang memberikan High Coverage in 1 Swipe. Formula Foundation Liquid dalam Bedak : Powder Foundation ini memberikan High Coverage seperti Liquid Foundation dan memberikan finish matte seperti bedak. High Coverage Fresh, Matte Finish, tidak cakey 24H Transferproof Sweat proof Waterproof Tahan terhadap cuaca yang panas dan lembab Tersedia dalam 6 Shades yang cocok untuk kulit orang Indonesia Konsumen setuju akan kenyamanan dalam menggunakan Infallible 24H Fresh Wear Powder Foundation 94% setuju produk ini nyaman untuk digunakan 90% setuju bahwa kulit tidak t.. See More","",""
"Infallible Oil Killer High Coverage Powder","Rp209.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/3e57769e-d552-406d-9d8b-36c9657c6f1b-image-0-1633092213030","4.8","","","Menghadirkan bedak high coverage dan tahan lama hingga 24 jam dengan hasil matte yang natural! Dapatkan hasil makeup wajah matte yang halus dan bebas minyak sepanjang hari. 24 jam Oil Control: Dengan oil-blotting powder, memberikan hasil matte secara instan High coverage dengan hasil matte yang halus: Dilengkapi dengan micro-pigments Waterproof, heat-proof, and humidity-proof Formula breathable dan low transfer bahkan saat menggunakan masker! Tekstur ringan: Menyatu sempurna dengan kulit. Tidak cakey dan tidak membuat wajah kering Cocok untuk semua jenis kulit, terutama kulit berminyak dan sensitif. Non-comedogenic Tersedia dalam 8 shades sesuai warna kulit Indone.. See More","",""
"Infallible More Than Concealer Makeup NEW FORMULA","Rp207.400","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/d6f62f8c-505a-41fc-a438-e0e48a65c397-.jpg","4.6","","","High coverage concealer yang mudah digunakan dengan aplikator besar. Infallible more than concealer dari L'Oreal Paris terdiri dari 3 warna yang sesuai dengan warna kulit wanita Indonesia, dapat digunakan untuk menutupi noda pada area bawah mata dan kulit wajah serta menyegarkan tampilan make up dengan hasil natural. Hasil tahan lama hingga 24 jam, dengan formula tahan air.","",""
"Extraordinary Oil Pink Hair Serum","Rp184.000","Sociolla","Loreal Paris","https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/1/6/6/5/6/16656-large_default.jpg","4.6","","","Extraordinary Oil dari LOreal Paris adalah serum perawatan rambut intensif. Rambut akan secara intensif ternutrisi, dan terlindungi, dan memberikan hasil rambut yang halus, lembut, tampak berkilau, tanpa memberikan hasil akhir yang lepek secara seketika. Rambut tampak sempurna, seketika! Menggunakan formula yang diperkaya dengan French Rose Oil, teresap hingga ke dalam batang rambut, merawat kelembaban sampai inti rambut dan memberikan kilau. BENEFIT: Lebih dari sekedar vitamin rambut High Shine Oil untuk kilau rambut memukau Teknologi Shine Sillicone untuk refleksi dari berbagai arah French Rose Oil untuk wangi French Rose yang tahan lama","",""
"ELSEVE Hyaluron Moisture Shampoo","Rp87.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/29d0cf1f-1689-4c00-ba79-71164fd8b144-.jpg","4.5","","","L'Oréal Paris Hyaluron Pure 72H* Purifying Shampoo, 72Jam Kurangi Produksi Minyak Berlebih. Shampoo ini menyeimbangkan tingkat kelembapan rambut secara ideal untuk rambut yang terasa lembut dan berkilau. Diperkaya dengan [Hyaluronic acid] + [Salicylic acid] diformulasikan secara khusus untuk membersihkan kulit kepala secara menyeluruh dari minyak dan kotoran, sekaligus menghidrasi batang rambut secara mendalam, menutrisi dari kulit kepala hingga ujung rambut. Rasakan kesegaran dan kilau alami yang tahan lama! Benefit: Membantu mengurangi produksi minyak berlebih untuk segala tipe rambut Membersihkan kulit kepala secara menyeluruh dari kotoran dan minyak Kulit k.. See More","",""
"ELSEVE Hyaluron Moisture Conditioner","Rp87.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/c15db868-2adf-4e76-9d56-89b7359e17a5-.jpg","4.5","","","Sains Tentang rambut dehidrasi: Ini merupakan tanda rambut kekurangan kadar kelembapan. L’Oreal laboratories telah mengembangkan kondisioner yang mengunci kelembapan selama 72 jam^ yang diperkaya dengan Hyaluronic Acid. Secara natural, Hyaluronic Acid ditemukan dalam tubuh manusia, molekul ini dikenal dapat menahan air lebih dari beratnya sendiri hingga 1000x yang membantu menjaga kelembapan rambut. Diperkaya dengan Hyaluronic Acid Seketika menghaluskan rambut dengan mengunci kelembapan selama 72 jam^. Lebih berkilau^^, 10x lebih lembap bervolume dan ringan tanpa membuatnya lepek *. Rekomendasi Rangkaian: 1. Sampo - Membersihkan dan menjaga kelembapan.. See More","",""
"Glycolic Bright Glowing Night Cream","Rp209.000","Sociolla","Loreal Paris","https://www.sociolla.com/cdn-cgi/image/w=150,format=auto,dpr=1.45/https://images.soco.id/b1e2292a-8870-420a-9d06-e72ee2c99250-.jpg","4.8","","","L'OREAL PARIS GLYCOLIC-BRIGHT GLOWING NIGHT CREAM Glycolic-Bright Glowing Night Cream adalah pelembap malam yang dapat mencerahkan wajah kusam dalam semalam. Pelembap ini mengandung Brightening Glycolic Acid dan antioksidan Vitamin E dalam bentuk encapsulated beads yang dapat membantu melawan munculnya kulit kusam pada malam hari. Selain itu, teruji klinis membantu memperbaiki skin barrier dan menyamarkan noda hitam, sehingga wajah tampak lebih cerah dan glowing. Setelah menggunakan Glycolic-Bright Glowing Night Cream, kulit terasa lembap intensif dan lembut. Dengan penggunaan rutin selama berhari-hari, noda hitam di wajah pun pudar dan kulit tampak bercahaya. Dapa.. See More","",""
